realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2012-03-01,3550
2018-12-11,2018-12-11,2012-04-01,3409
2018-12-11,2018-12-11,2012-05-01,3786
2018-12-11,2018-12-11,2012-06-01,3816
2018-12-11,2018-12-11,2012-07-01,3733
2018-12-11,2018-12-11,2012-08-01,3752
2018-12-11,2018-12-11,2012-09-01,3503
2018-12-11,2018-12-11,2012-10-01,3626
2018-12-11,2018-12-11,2012-11-01,3869
2018-12-11,2018-12-11,2012-12-01,5124
2018-12-11,2018-12-11,2013-01-01,3155
2018-12-11,2018-12-11,2013-02-01,3227
2018-12-11,2018-12-11,2013-03-01,3624
2018-12-11,2018-12-11,2013-04-01,3488
2018-12-11,2018-12-11,2013-05-01,3947
2018-12-11,2018-12-11,2013-06-01,3809
2018-12-11,2018-12-11,2013-07-01,4034
2018-12-11,2018-12-11,2013-08-01,4100
2018-12-11,2018-12-11,2013-09-01,3631
2018-12-11,2018-12-11,2013-10-01,3787
2018-12-11,2018-12-11,2013-11-01,4059
2018-12-11,2018-12-11,2013-12-01,5215
2018-12-11,2018-12-11,2014-01-01,3381
2018-12-11,2018-12-11,2014-02-01,3310
2018-12-11,2018-12-11,2014-03-01,3652
2018-12-11,2018-12-11,2014-04-01,3702
2018-12-11,2018-12-11,2014-05-01,4165
2018-12-11,2018-12-11,2014-06-01,4036
2018-12-11,2018-12-11,2014-07-01,4242
2018-12-11,2018-12-11,2014-08-01,4219
2018-12-11,2018-12-11,2014-09-01,3814
2018-12-11,2018-12-11,2014-10-01,4090
2018-12-11,2018-12-11,2014-11-01,4103
2018-12-11,2018-12-11,2014-12-01,5572
2018-12-11,2018-12-11,2015-01-01,3572
2018-12-11,2018-12-11,2015-02-01,3482
2018-12-11,2018-12-11,2015-03-01,3857
2018-12-11,2018-12-11,2015-04-01,3867
2018-12-11,2018-12-11,2015-05-01,4335
2018-12-11,2018-12-11,2015-06-01,4217
2018-12-11,2018-12-11,2015-07-01,4532
2018-12-11,2018-12-11,2015-08-01,4260
2018-12-11,2018-12-11,2015-09-01,4073
2018-12-11,2018-12-11,2015-10-01,4273
2018-12-11,2018-12-11,2015-11-01,4266
2018-12-11,2018-12-11,2015-12-01,5816
2018-12-11,2018-12-11,2016-01-01,3610
2018-12-11,2018-12-11,2016-02-01,3773
2018-12-11,2018-12-11,2016-03-01,4051
2018-12-11,2018-12-11,2016-04-01,4114
2018-12-11,2018-12-11,2016-05-01,4403
2018-12-11,2018-12-11,2016-06-01,4474
2018-12-11,2018-12-11,2016-07-01,4751
2018-12-11,2018-12-11,2016-08-01,4480
2018-12-11,2018-12-11,2016-09-01,4434
2018-12-11,2018-12-11,2016-10-01,4437
2018-12-11,2018-12-11,2016-11-01,4674
2018-12-11,2018-12-11,2016-12-01,6054
2018-12-11,2018-12-11,2017-01-01,3728
2018-12-11,2018-12-11,2017-02-01,3759
2018-12-11,2018-12-11,2017-03-01,4247
2018-12-11,2018-12-11,2017-04-01,4251
2018-12-11,2018-12-11,2017-05-01,4647
2018-12-11,2018-12-11,2017-06-01,4676
2018-12-11,2018-12-11,2017-07-01,4798
2018-12-11,2018-12-11,2017-08-01,4647
2018-12-11,2018-12-11,2017-09-01,4538
2018-12-11,2018-12-11,2017-10-01,4536
2018-12-11,2018-12-11,2017-11-01,4846
2018-12-11,2018-12-11,2017-12-01,6241
2018-12-11,2018-12-11,2018-01-01,3965
2018-12-11,2018-12-11,2018-02-01,3967
2018-12-11,2018-12-11,2018-03-01,4629
2018-12-11,2018-12-11,2018-04-01,4317
2018-12-11,2018-12-11,2018-05-01,4897
2018-12-11,2018-12-11,2018-06-01,4939
2018-12-11,2018-12-11,2018-07-01,4963
2018-12-11,2018-12-11,2018-08-01,4898
2018-12-11,2018-12-11,2018-09-01,4597
