realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2011-10-01,49873
2018-12-11,2018-12-11,2011-11-01,48662
2018-12-11,2018-12-11,2011-12-01,55489
2018-12-11,2018-12-11,2012-01-01,47096
2018-12-11,2018-12-11,2012-02-01,52611
2018-12-11,2018-12-11,2012-03-01,61036
2018-12-11,2018-12-11,2012-04-01,54942
2018-12-11,2018-12-11,2012-05-01,60389
2018-12-11,2018-12-11,2012-06-01,56669
2018-12-11,2018-12-11,2012-07-01,56948
2018-12-11,2018-12-11,2012-08-01,61184
2018-12-11,2018-12-11,2012-09-01,54451
2018-12-11,2018-12-11,2012-10-01,54854
2018-12-11,2018-12-11,2012-11-01,53618
2018-12-11,2018-12-11,2012-12-01,58752
2018-12-11,2018-12-11,2013-01-01,53175
2018-12-11,2018-12-11,2013-02-01,54716
2018-12-11,2018-12-11,2013-03-01,63329
2018-12-11,2018-12-11,2013-04-01,61448
2018-12-11,2018-12-11,2013-05-01,65809
2018-12-11,2018-12-11,2013-06-01,62573
2018-12-11,2018-12-11,2013-07-01,66126
2018-12-11,2018-12-11,2013-08-01,68316
2018-12-11,2018-12-11,2013-09-01,58075
2018-12-11,2018-12-11,2013-10-01,60383
2018-12-11,2018-12-11,2013-11-01,58700
2018-12-11,2018-12-11,2013-12-01,62724
2018-12-11,2018-12-11,2014-01-01,54554
2018-12-11,2018-12-11,2014-02-01,56299
2018-12-11,2018-12-11,2014-03-01,69047
2018-12-11,2018-12-11,2014-04-01,66931
2018-12-11,2018-12-11,2014-05-01,71351
2018-12-11,2018-12-11,2014-06-01,65629
2018-12-11,2018-12-11,2014-07-01,69994
2018-12-11,2018-12-11,2014-08-01,72042
2018-12-11,2018-12-11,2014-09-01,63756
2018-12-11,2018-12-11,2014-10-01,64501
2018-12-11,2018-12-11,2014-11-01,61782
2018-12-11,2018-12-11,2014-12-01,69256
2018-12-11,2018-12-11,2015-01-01,60980
2018-12-11,2018-12-11,2015-02-01,59825
2018-12-11,2018-12-11,2015-03-01,73305
2018-12-11,2018-12-11,2015-04-01,70517
2018-12-11,2018-12-11,2015-05-01,74341
2018-12-11,2018-12-11,2015-06-01,71417
2018-12-11,2018-12-11,2015-07-01,74999
2018-12-11,2018-12-11,2015-08-01,76094
2018-12-11,2018-12-11,2015-09-01,70394
2018-12-11,2018-12-11,2015-10-01,69848
2018-12-11,2018-12-11,2015-11-01,65942
2018-12-11,2018-12-11,2015-12-01,74458
2018-12-11,2018-12-11,2016-01-01,62058
2018-12-11,2018-12-11,2016-02-01,67248
2018-12-11,2018-12-11,2016-03-01,75579
2018-12-11,2018-12-11,2016-04-01,73216
2018-12-11,2018-12-11,2016-05-01,74761
2018-12-11,2018-12-11,2016-06-01,73434
2018-12-11,2018-12-11,2016-07-01,76141
2018-12-11,2018-12-11,2016-08-01,79897
2018-12-11,2018-12-11,2016-09-01,73526
2018-12-11,2018-12-11,2016-10-01,71153
2018-12-11,2018-12-11,2016-11-01,70417
2018-12-11,2018-12-11,2016-12-01,80313
2018-12-11,2018-12-11,2017-01-01,65777
2018-12-11,2018-12-11,2017-02-01,67808
2018-12-11,2018-12-11,2017-03-01,79892
2018-12-11,2018-12-11,2017-04-01,72922
2018-12-11,2018-12-11,2017-05-01,79876
2018-12-11,2018-12-11,2017-06-01,76719
2018-12-11,2018-12-11,2017-07-01,78070
2018-12-11,2018-12-11,2017-08-01,80710
2018-12-11,2018-12-11,2017-09-01,77688
2018-12-11,2018-12-11,2017-10-01,75883
2018-12-11,2018-12-11,2017-11-01,74822
2018-12-11,2018-12-11,2017-12-01,80990
2018-12-11,2018-12-11,2018-01-01,69088
2018-12-11,2018-12-11,2018-02-01,68993
2018-12-11,2018-12-11,2018-03-01,84914
2018-12-11,2018-12-11,2018-04-01,76368
2018-12-11,2018-12-11,2018-05-01,84444
2018-12-11,2018-12-11,2018-06-01,80576
2018-12-11,2018-12-11,2018-07-01,80640
2018-12-11,2018-12-11,2018-08-01,84782
2018-12-11,2018-12-11,2018-09-01,75539
