realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2012-06-01,19874
2018-12-11,2018-12-11,2012-07-01,19741
2018-12-11,2018-12-11,2012-08-01,19939
2018-12-11,2018-12-11,2012-09-01,20093
2018-12-11,2018-12-11,2012-10-01,19935
2018-12-11,2018-12-11,2012-11-01,20020
2018-12-11,2018-12-11,2012-12-01,20168
2018-12-11,2018-12-11,2013-01-01,20451
2018-12-11,2018-12-11,2013-02-01,20185
2018-12-11,2018-12-11,2013-03-01,20275
2018-12-11,2018-12-11,2013-04-01,20488
2018-12-11,2018-12-11,2013-05-01,20366
2018-12-11,2018-12-11,2013-06-01,20345
2018-12-11,2018-12-11,2013-07-01,20555
2018-12-11,2018-12-11,2013-08-01,20292
2018-12-11,2018-12-11,2013-09-01,20264
2018-12-11,2018-12-11,2013-10-01,20775
2018-12-11,2018-12-11,2013-11-01,20219
2018-12-11,2018-12-11,2013-12-01,20571
2018-12-11,2018-12-11,2014-01-01,20476
2018-12-11,2018-12-11,2014-02-01,20389
2018-12-11,2018-12-11,2014-03-01,20581
2018-12-11,2018-12-11,2014-04-01,21095
2018-12-11,2018-12-11,2014-05-01,20708
2018-12-11,2018-12-11,2014-06-01,20761
2018-12-11,2018-12-11,2014-07-01,20911
2018-12-11,2018-12-11,2014-08-01,21006
2018-12-11,2018-12-11,2014-09-01,20790
2018-12-11,2018-12-11,2014-10-01,21082
2018-12-11,2018-12-11,2014-11-01,21274
2018-12-11,2018-12-11,2014-12-01,21214
2018-12-11,2018-12-11,2015-01-01,20930
2018-12-11,2018-12-11,2015-02-01,21098
2018-12-11,2018-12-11,2015-03-01,21334
2018-12-11,2018-12-11,2015-04-01,21310
2018-12-11,2018-12-11,2015-05-01,21577
2018-12-11,2018-12-11,2015-06-01,21351
2018-12-11,2018-12-11,2015-07-01,21523
2018-12-11,2018-12-11,2015-08-01,21471
2018-12-11,2018-12-11,2015-09-01,21361
2018-12-11,2018-12-11,2015-10-01,21140
2018-12-11,2018-12-11,2015-11-01,21248
